vote_count,original_language,popularity,genres,cast,budget,directors
576000,Hindi,4896.0,Political,Other,20,Vivek Agnihotri
456000,Hindi,3830.4,Comedy,Aamir Khan,55,Rajkumar Hirani
224000,Hindi,1859.2,Coming-of-Age,Aamir Khan,70,Other
217000,Hindi,1801.1,Drama,Other,12,Other
210000,Hindi,1701.0,Quest,Aamir Khan,85,Rajkumar Hirani
178000,Telugu,1388.4,Action Epic,N.T. Rama Rao Jr.,550,S.S. Rajamouli
158000,Kannada,1295.6,Action Epic,Other,100,Other
146000,Hindi,1284.8,Documentary,Other,20,Vidhu Vinod Chopra
144000,Telugu,1152.0,Action Epic,Prabhas,180,S.S. Rajamouli
123000,Telugu,1008.6,Action Epic,Prabhas,250,S.S. Rajamouli
124000,Hindi,1004.4,Epic,Aamir Khan,25,Ashutosh Gowariker
124000,Hindi,1004.4,Political,Aamir Khan,40,Other
179000,Hindi,1002.4,Epic,Aamir Khan,180,Other
119000,Hindi,940.1,Psychological,Shah Rukh Khan,85,Karan Johar
161000,Hindi,933.8,Action Epic,Shah Rukh Khan,240,Siddharth Anand
108000,Hindi,885.6,Thriller,Ayushmann Khurrana,32,Sriram Raghavan
107000,Kannada,877.4,Action,Other,16,Other
107000,Hindi,877.4,Crime,Other,18,Anurag Kashyap
104000,Kannada,852.8,Action Epic,Other,80,Other
104000,Hindi,842.4,Quest,Salman Khan,90,Kabir Khan
101000,Hindi,828.2,Crime,Ajay Devgn,38,Nishikant Kamat
101000,Hindi,828.2,Drama,Shah Rukh Khan,20,Ashutosh Gowariker
92000,Hindi,745.2,Drama,Sanjay Dutt,10,Rajkumar Hirani
90000,Hindi,738.0,Coming-of-Age,Hrithik Roshan,55,Other
96000,Telugu,729.6,Action Epic,Other,180,Sukumar
90000,Hindi,729.0,Comedy,Ranbir Kapoor,30,Anurag Basu
104000,Hindi,717.6,Action Epic,Shah Rukh Khan,300,Atlee
87000,Hindi,704.7,Drama,Shah Rukh Khan,20,Other
84000,Hindi,680.4,Suspense,Other,8,Neeraj Pandey
80000,Tamil,664.0,Action,Kamal Haasan,120,Lokesh Kanagaraj
106000,Hindi,646.6,Action Epic,Ranbir Kapoor,200,Other
80000,Hindi,640.0,Romantic,Shah Rukh Khan,4,Other
114000,Hindi,638.4,Action Epic,Amitabh Bachchan,410,Other
75000,Telugu,637.5,Action,Dulquer Salmaan,30,Other
86000,Tamil,636.4,Action,Joseph Vijay,135,Lokesh Kanagaraj
78000,Hindi,624.0,Coming-of-Age,Aamir Khan,15,Other
76000,Hindi,623.2,Action Epic,Vicky Kaushal,25,Other
76000,Hindi,623.2,Comedy,Akshay Kumar,7,Priyadarshan
78000,Hindi,616.2,Romantic,Other,30,Nikkhil Advani
74000,Hindi,606.8,Biography,Other,41,Other
72000,Hindi,576.0,Biography,Sushant Singh Rajput,104,Neeraj Pandey
69000,Kannada,572.7,Action,Other,10,Other
70000,Hindi,567.0,Adventure,Kangana Ranaut,12,Vikas Bahl
68000,Hindi,564.4,Comedy,Sushant Singh Rajput,70,Other
68000,Hindi,557.6,Horror,Other,15,Other
66000,Tamil,554.4,Action,Vijay Sethupathi,20,Other
68000,Hindi,550.8,Thriller,Vidya Balan,8,Other
68000,Hindi,550.8,Comedy,Other,20,Other
81000,Hindi,526.5,Action,Taapsee Pannu,120,Rajkumar Hirani
75000,Hindi,517.5,Drama,Other,30,Other
60000,Hindi,516.0,Biography,Madhavan,65,Other
65000,Telugu,513.5,Quest,Other,30,Other
69000,Hindi,510.6,Action,Aamir Khan,65,A.R. Murugadoss
64000,Hindi,499.2,Crime,Alia Bhatt,180,Sanjay Leela Bhansali
75000,Telugu,495.0,Action Epic,Prabhas,270,Other
63000,Hindi,491.4,Drama,Irrfan Khan,18,Other
62000,Hindi,489.8,Romance,Shahid Kapoor,15,Imtiaz Ali
62000,Hindi,489.8,Spy,Akshay Kumar,58,Neeraj Pandey
61000,Hindi,488.0,Heist,Akshay Kumar,42,Neeraj Pandey
64000,Hindi,486.4,Documentary,Ranbir Kapoor,100,Rajkumar Hirani
60000,Hindi,486.0,Action Epic,Other,3,Other
67000,Tamil,482.4,Action Epic,Joseph Vijay,300,Lokesh Kanagaraj
60000,Hindi,474.0,History,Akshay Kumar,30,Other
59000,Hindi,472.0,Action,Shahid Kapoor,48,Vishal Bhardwaj
80000,Hindi,472.0,Cop,Akshay Kumar,165,Rohit Shetty
60000,Hindi,468.0,Romantic,Shah Rukh Khan,23,Yash Chopra
66000,Telugu,462.0,Action Epic,Prabhas,600,Other
57000,Hindi,456.0,Comedy,Aamir Khan,3,Rajkumar Santoshi
54000,Tamil,448.2,Thriller,Other,20,Other
74000,Hindi,444.0,Action,Salman Khan,140,Other
59000,Hindi,442.5,Romantic,Shah Rukh Khan,10,Karan Johar
59000,Hindi,436.6,Drama,Shah Rukh Khan,40,Karan Johar
53000,Tamil,434.6,Action,Madhavan,175,Other
51000,Hindi,428.4,Comedy,Other,5,Other
60000,Hindi,426.0,Action Epic,Shah Rukh Khan,76,Other
52000,Hindi,416.0,Comedy,Sanjay Dutt,19,Rajkumar Hirani
67000,Hindi,415.4,Road Trip,Deepika Padukone,115,Rohit Shetty
61000,Hindi,408.7,Drama,Shah Rukh Khan,50,Yash Chopra
52000,Hindi,405.6,Tragedy,Ranbir Kapoor,60,Imtiaz Ali
56000,Hindi,403.2,Romantic,Shah Rukh Khan,39,Other
55000,Hindi,401.5,Coming-of-Age,Ranbir Kapoor,75,Other
50000,Hindi,400.0,Legal,Amitabh Bachchan,29,Other
48000,Hindi,393.6,Suspense,Ajay Devgn,50,Other
55000,Hindi,390.5,Action,Salman Khan,145,Ali Abbas Zafar
48000,Hindi,388.8,Coming-of-Age,Other,11,Other
46000,Tamil,386.4,Cop,Karthi,25,Lokesh Kanagaraj
46000,Malayalam,381.8,Thriller,Mohanlal,5,Jeethu Joseph
43000,Kannada,374.1,Adventure,Rakshit Shetty,20,Other
47000,Telugu,371.3,Action,Mahesh Babu,70,Sukumar
49000,Hindi,367.5,History,Shah Rukh Khan,50,Sanjay Leela Bhansali
135000,Telugu,364.5,Action Epic,Prabhas,600,Other
43000,Malayalam,361.2,Thriller,Mohanlal,50,Jeethu Joseph
45000,Hindi,355.5,Coming-of-Age,Ranveer Singh,60,Other
46000,Hindi,354.2,Comedy,Ayushmann Khurrana,15,Other
77000,Hindi,354.2,Horror,Kartik Aaryan,150,Anees Bazmee
52000,Hindi,353.6,Parody,Shah Rukh Khan,40,Other
75000,Hindi,352.5,Action Epic,Ajay Devgn,350,Rohit Shetty
54000,Hindi,351.0,Psychological,Ajay Devgn,65,Vikas Bahl
41000,Tamil,348.5,Drama,Vijay Sethupathi,18,Other
51000,Hindi,346.8,Tragedy,Shah Rukh Khan,120,Maneesh Sharma
52000,Hindi,343.2,Crime,Shah Rukh Khan,90,Other
47000,Hindi,343.1,Psychological,Aamir Khan,54,Other
56000,Telugu,341.6,Action Epic,Allu Arjun,500,Sukumar
45000,Hindi,337.5,Comedy,Rajkummar Rao,24,Other
45000,Hindi,337.5,Comedy,Other,150,Other
54000,Hindi,334.8,Tech,Shahid Kapoor,75,Other
47000,Malayalam,333.7,Adventure,Prithviraj Sukumaran,82,Other
45000,Hindi,333.0,Coming-of-Age,Alia Bhatt,46,Other
181000,Hindi,325.8,Action,Salman Khan,90,Prabhu Deva
40000,Tamil,324.0,Action,Joseph Vijay,70,A.R. Murugadoss
41000,Tamil,323.9,Spy,Other,95,Other
52000,Hindi,322.4,Action Epic,Hrithik Roshan,250,Siddharth Anand
39000,Hindi,319.8,Tragedy,Irrfan Khan,8,Other
41000,Hindi,319.8,Comedy,Other,10,Other
42000,Hindi,315.0,Biography,Ranveer Singh,270,Kabir Khan
55000,Hindi,313.5,Action,Salman Khan,300,Maneesh Sharma
39000,Hindi,308.1,Biography,Hrithik Roshan,60,Vikas Bahl
39000,Hindi,308.1,Comedy,Ayushmann Khurrana,29,Other
38000,Hindi,307.8,Crime,Ayushmann Khurrana,35,Anubhav Sinha
39000,Hindi,304.2,Coming-of-Age,Other,30,Abhishek Kapoor
42000,Hindi,302.4,Crime,Shah Rukh Khan,38,Other
54000,Hindi,302.4,Action Epic,Akshay Kumar,300,Other
43000,Hindi,301.0,Romance,Shahid Kapoor,68,Other
40000,Hindi,300.0,Action Epic,Other,40,Other
40000,Tamil,300.0,Drama,Joseph Vijay,120,Atlee
37000,Hindi,299.7,Drama,Amitabh Bachchan,20,Sanjay Leela Bhansali
42000,Hindi,298.2,Action,Shah Rukh Khan,25,Other
35000,Tamil,294.0,Action,Dhanush,22,Vetrimaaran
40000,Hindi,292.0,History,Ranveer Singh,145,Sanjay Leela Bhansali
36000,Hindi,291.6,Tragedy,Other,0,Other
36000,Hindi,291.6,Political,Other,8,Vivek Agnihotri
42000,Hindi,289.8,Horror,Rajkummar Rao,60,Other
38000,Tamil,288.8,Action Epic,Vikram,250,Mani Ratnam
41000,Hindi,287.0,Road Trip,Other,30,Other
44000,Hindi,286.0,Romantic,Ranveer Singh,160,Karan Johar
40000,Tamil,284.0,Cop,Rajinikanth,225,Other
37000,Hindi,277.5,Action Epic,Ajay Devgn,150,Other
39000,Hindi,276.9,Epic,Deepika Padukone,215,Sanjay Leela Bhansali
51000,Hindi,275.4,Heist,Aamir Khan,175,Other
36000,Hindi,273.6,Coming-of-Age,Ranbir Kapoor,18,Other
36000,Hindi,273.6,Romance,Dhanush,35,Aanand L. Rai
39000,Tamil,273.0,Cop,Amitabh Bachchan,300,Other
36000,Hindi,270.0,Horror,Akshay Kumar,32,Priyadarshan
36000,Hindi,270.0,History,Hrithik Roshan,40,Ashutosh Gowariker
35000,Hindi,269.5,Spy,Alia Bhatt,40,Other
57000,Hindi,267.9,Action Epic,Ranbir Kapoor,150,Other
33000,Hindi,267.3,Tragedy,Other,8,Other
33000,Hindi,267.3,Action Epic,Other,35,Other
41000,Hindi,266.5,Action,Ajay Devgn,100,Neeraj Pandey
35000,Hindi,266.0,Comedy,Deepika Padukone,42,Other
34000,Hindi,265.2,Documentary,Kartik Aaryan,140,Kabir Khan
34000,Hindi,265.2,Comedy,Irrfan Khan,23,Other
44000,Hindi,264.0,Comedy,Other,85,Other
43000,Hindi,262.3,Action,Salman Khan,40,Other
33000,Hindi,260.7,Comedy,Abhay Deol,13,Anurag Kashyap
32000,Tamil,259.2,Action,Joseph Vijay,70,A.R. Murugadoss
36000,Hindi,255.6,Romance,Aamir Khan,30,Other
33000,Hindi,254.1,Crime,Shahid Kapoor,47,Other
34000,Hindi,251.6,Coming-of-Age,Deepika Padukone,87,Imtiaz Ali
33000,English,250.8,Comedy,Imran Khan,25,Other
35000,Hindi,248.5,Drama,Aditya Roy Kapoor,15,Mohit Suri
31000,Telugu,248.0,Caper,Dulquer Salmaan,100,Other
32000,Hindi,246.4,Crime,Amitabh Bachchan,24,Other
35000,Hindi,245.0,Drama,Amitabh Bachchan,19,Other
32000,Hindi,243.2,Crime,Alia Bhatt,25,Imtiaz Ali
31000,Hindi,241.8,Drama,Other,15,Other
49000,Hindi,240.1,Action Epic,Shah Rukh Khan,150,Anubhav Sinha
32000,Hindi,240.0,Drama,Shah Rukh Khan,18,Mani Ratnam
39000,Hindi,237.9,Comedy,Varun Dhawan,105,Other
29000,Telugu,237.8,History,Ram Charan,60,Sukumar
30000,Hindi,237.0,Comedy,Akshay Kumar,76,R Balki
40000,Tamil,236.0,Action,Joseph Vijay,280,Vamshi Paidipally
31000,Hindi,235.6,Thriller,Shah Rukh Khan,4,Other
27000,Tamil,232.2,Adventure,Kamal Haasan,14,Other
33000,Hindi,231.0,Comedy,Ayushmann Khurrana,30,Other
35000,Hindi,231.0,Action Epic,Hrithik Roshan,170,Siddharth Anand
32000,Tamil,230.4,Action Epic,Rajinikanth,132,S. Shankar
29000,Telugu,229.1,Romance,Vijay Deverakonda,5,Other
30000,Hindi,228.0,Romantic,Kangana Ranaut,39,Aanand L. Rai
40000,Hindi,228.0,Action Epic,Salman Khan,75,Kabir Khan
28000,Hindi,226.8,Thriller,Aamir Khan,13,Other
26000,Tamil,223.6,Epic,Kamal Haasan,1,Mani Ratnam
29000,Telugu,223.3,Superhero,Other,40,Other
29000,Telugu,223.3,Action,Other,40,S.S. Rajamouli
29000,Hindi,223.3,Comedy,Other,35,Other
31000,Hindi,223.2,Action,Akshay Kumar,50,A.R. Murugadoss
27000,Malayalam,221.4,Adventure,Other,20,Other
35000,Hindi,220.5,Cop,Salman Khan,42,Other
30000,Hindi,219.0,Comedy,Akshay Kumar,18,Other
28000,Malayalam,218.4,Action,Fahadh Faasil,30,Other
31000,Hindi,217.0,Documentary,Ajay Devgn,105,Other
30000,Hindi,216.0,Tragedy,Hrithik Roshan,35,Sanjay Gupta
43000,Hindi,215.0,Action,Shah Rukh Khan,150,Other
29000,Hindi,214.6,Romantic,Imran Khan,15,Other
37000,Hindi,214.6,Comedy,Other,75,Other
35000,Hindi,213.5,Action,Other,50,Other
26000,Hindi,213.2,Comedy,Other,8,Dibakar Banerjee
26000,Tamil,213.2,Time Travel,Other,35,Venkat Prabhu
25000,Telugu,212.5,Drama,Nani,25,Other
48000,Hindi,211.2,Action Epic,Salman Khan,200,A.R. Murugadoss
27000,Hindi,210.6,Coming-of-Age,Hrithik Roshan,30,Other
27000,Hindi,207.9,Action Epic,Vicky Kaushal,130,Other
31000,Hindi,207.7,Comedy,Kartik Aaryan,60,Other
25000,Malayalam,207.5,Romantic,Nivin Pauly,4,Other
30000,Hindi,207.0,Drama,Other,60,Sriram Raghavan
35000,Hindi,206.5,Action,Salman Khan,210,Ali Abbas Zafar
29000,Hindi,205.9,Action,Other,35,Rakesh Roshan
31000,Hindi,204.6,Heist,Hrithik Roshan,35,Other
40000,Hindi,204.0,Action,Shah Rukh Khan,165,Rohit Shetty
29000,Hindi,203.0,Legal,Akshay Kumar,50,Other
25000,Hindi,202.5,Comedy,Aamir Khan,1,Other
28000,Hindi,201.6,Comedy,Akshay Kumar,45,Other
26000,Hindi,200.2,Drama,Other,32,Mani Ratnam
26000,Telugu,200.2,Action Epic,Ram Charan,44,S.S. Rajamouli
29000,Kannada,200.1,Adventure,Other,95,Other
27000,Hindi,199.8,Action,Varun Dhawan,29,Sriram Raghavan
35000,Hindi,199.5,Horror,Other,80,Anees Bazmee
24000,Malayalam,199.2,Comedy,Dulquer Salmaan,8,Other
26000,Hindi,197.6,Action,Sunny Deol,3,Yash Chopra
26000,Hindi,197.6,Spy,John Abraham,35,Other
26000,Hindi,197.6,History,John Abraham,35,Other
38000,Tamil,197.6,Action Epic,Joseph Vijay,150,Other
27000,Hindi,197.1,Comedy,Naseeruddin Shah,7,Other
25000,Hindi,195.0,Political,Other,20,Other
25000,Tamil,195.0,Time Travel,Suriya,75,Vikram K. Kumar
26000,Hindi,195.0,Horror,Dulquer Salmaan,20,R Balki
23000,Hindi,193.2,Crime,Other,6,Anurag Kashyap
23000,Tamil,193.2,Cop,Other,25,Other
28000,Hindi,193.2,Crime,Hrithik Roshan,58,Other
28000,Hindi,193.2,Romantic,Other,36,Other
26000,Hindi,192.4,Biography,Amitabh Bachchan,35,Other
24000,Tamil,192.0,Action,Dhanush,40,Other
27000,Hindi,191.7,Slapstick,Akshay Kumar,32,Anees Bazmee
23000,Tamil,190.9,Martial Arts,Vikram,38,S. Shankar
25000,Hindi,190.0,Comedy,Sushant Singh Rajput,35,Dibakar Banerjee
24000,Hindi,189.6,Thriller,Other,6,Anurag Kashyap
