iter	Passed	Remaining
0	1	448
1	1	355
2	3	412
3	3	360
4	4	328
5	4	308
6	5	303
7	6	302
8	6	299
9	7	292
10	8	286
11	8	279
12	9	281
13	10	285
14	10	278
15	11	273
16	12	271
17	12	264
18	12	259
19	13	255
20	14	253
21	14	249
22	15	245
23	15	242
24	16	240
25	16	237
26	16	234
27	17	231
28	17	228
29	18	225
30	18	223
31	19	220
32	19	219
33	20	217
34	20	215
35	21	212
36	21	210
37	21	209
38	22	208
39	23	207
40	23	206
41	24	204
42	24	203
43	24	201
44	25	200
45	25	199
46	26	197
47	26	197
48	27	195
49	27	195
50	28	193
51	28	192
52	29	191
53	29	190
54	30	189
55	30	189
56	31	187
57	31	186
58	32	185
59	32	184
60	32	182
61	33	181
62	33	180
63	34	178
64	34	177
65	34	177
66	35	176
67	35	174
68	36	173
69	36	172
70	37	171
71	37	170
72	37	169
73	38	169
74	38	168
75	39	167
76	39	167
77	41	169
78	41	168
79	41	167
80	42	166
81	42	165
82	43	165
83	43	164
84	44	163
85	44	163
86	45	162
87	45	161
88	45	160
89	46	159
90	46	158
91	47	157
92	47	157
93	48	156
94	48	156
95	49	155
96	49	154
97	49	153
98	50	152
99	50	152
100	51	151
101	51	150
102	52	149
103	52	149
104	52	148
105	53	147
106	53	146
107	53	145
108	54	145
109	55	145
110	55	144
111	55	143
112	56	143
113	56	142
114	57	141
115	57	141
116	58	140
117	58	140
118	59	139
119	59	138
120	59	138
121	60	137
122	60	136
123	61	136
124	61	135
125	61	134
126	62	133
127	62	133
128	63	132
129	63	131
130	63	131
131	64	130
132	64	130
133	65	129
134	65	128
135	65	128
136	66	127
137	66	126
138	67	126
139	67	125
140	67	124
141	68	124
142	68	123
143	69	122
144	69	122
145	69	121
146	70	121
147	70	120
148	70	119
149	71	118
150	71	118
151	72	117
152	72	116
153	72	116
154	73	116
155	73	115
156	74	114
157	74	114
158	74	113
159	75	112
160	75	112
161	76	111
162	76	111
163	76	110
164	77	110
165	77	109
166	78	109
167	78	108
168	79	108
169	79	107
170	79	106
171	80	106
172	80	105
173	81	105
174	81	104
175	81	104
176	82	103
177	82	102
178	82	102
179	83	101
180	83	101
181	84	100
182	84	100
183	85	99
184	85	99
185	85	98
186	86	98
187	86	97
188	86	96
189	87	96
190	87	95
191	87	95
192	88	94
193	88	94
194	89	94
195	89	93
196	90	92
197	90	92
198	90	91
199	91	91
200	91	90
201	92	90
202	92	89
203	92	89
204	93	88
205	93	88
206	93	87
207	94	86
208	94	86
209	94	85
210	95	85
211	95	84
212	95	84
213	96	83
214	96	83
215	97	82
216	97	82
217	97	81
218	98	81
219	98	80
220	98	80
221	99	79
222	99	79
223	100	78
224	100	78
225	100	77
226	101	77
227	101	76
228	102	76
229	102	75
230	102	75
231	103	74
232	103	74
233	103	73
234	104	73
235	104	72
236	105	72
237	105	72
238	106	71
239	106	71
240	106	70
241	107	70
242	107	69
243	108	69
244	108	68
245	108	68
246	109	67
247	109	67
248	109	66
249	110	66
250	110	65
251	111	65
252	111	64
253	112	64
254	112	63
255	112	63
256	113	62
257	113	62
258	113	61
259	114	61
260	114	61
261	114	60
262	115	60
263	115	59
264	116	59
265	116	58
266	116	58
267	117	57
268	117	57
269	117	56
270	118	56
271	118	55
272	119	55
273	119	55
274	120	54
275	120	54
276	121	53
277	121	53
278	122	52
279	122	52
280	123	52
281	123	51
282	123	51
283	124	50
284	124	50
285	125	49
286	125	49
287	125	48
288	126	48
289	126	47
290	126	47
291	127	47
292	127	46
293	128	46
294	128	45
295	128	45
296	129	44
297	130	44
298	130	44
299	130	43
300	131	43
301	131	42
302	131	42
303	132	41
304	132	41
305	133	40
306	133	40
307	133	39
308	134	39
309	134	39
310	134	38
311	135	38
312	135	37
313	135	37
314	137	36
315	137	36
316	137	36
317	138	35
318	138	35
319	138	34
320	139	34
321	139	33
322	140	33
323	140	32
324	141	32
325	141	32
326	141	31
327	142	31
328	142	30
329	142	30
330	143	29
331	143	29
332	144	29
333	144	28
334	144	28
335	145	27
336	145	27
337	146	26
338	146	26
339	147	25
340	147	25
341	148	25
342	148	24
343	148	24
344	149	23
345	149	23
346	149	22
347	150	22
348	150	22
349	151	21
350	151	21
351	151	20
352	152	20
353	152	19
354	152	19
355	153	18
356	153	18
357	154	18
358	154	17
359	155	17
360	155	16
361	155	16
362	156	15
363	156	15
364	156	15
365	157	14
366	157	14
367	158	13
368	158	13
369	159	12
370	159	12
371	159	12
372	160	11
373	160	11
374	160	10
375	161	10
376	161	9
377	162	9
378	162	9
379	163	8
380	163	8
381	164	7
382	164	7
383	164	6
384	165	6
385	165	6
386	166	5
387	166	5
388	166	4
389	167	4
390	167	3
391	168	3
392	168	3
393	169	2
394	170	2
395	170	1
396	171	1
397	171	0
398	171	0
399	172	0
