imdb_id,title,vote_average,vote_count,release_date,original_language,overview,popularity,genres,production_companies,release_year,cast,budget_crore,collection_crore,directors
tt91000000,Silent Kingdom 282,5.9,14235,2004-12-29,ta,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",51.9,Family,Red Chillies Entertainment,2020,Ranveer Singh,82.13,85.8,Anurag Kashyap
tt91000001,Royal Warrior 285,7.7,94168,2009-11-20,kn,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",85.71,Romance,Hombale Films,2013,Ajith Kumar,108.14,976.43,Rajkumar Hirani
tt91000002,Sacred Border 550,5.6,103907,2001-12-12,hi,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",63.85,Mystery,Mythri Movie Makers,2025,Salman Khan,419.13,540.02,Mani Ratnam
tt91000003,Hidden Border 651,6.6,269490,2017-01-18,ta,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",69.11,Thriller,T-Series,2003,Ram Charan,293.08,1433.87,Ayan Mukerji
tt91000004,Hidden Dream 705,6.6,343837,2017-01-07,te,"A thriller film about courage, betrayal and redemption that changes the lives of its protagonists.",69.67,Thriller,Mythri Movie Makers,2014,Jr. NTR,374.4,1461.69,Shankar
tt91000005,Broken Dream 470,6.3,38843,2022-05-24,kn,"A family film about courage, betrayal and redemption that changes the lives of its protagonists.",74.94,Family,Excel Entertainment,2020,Ranveer Singh,141.13,331.19,Atlee
tt91000006,Dark Legacy 643,7.2,114094,2002-02-10,kn,"A mystery film about courage, betrayal and redemption that changes the lives of its protagonists.",78.63,Mystery,Hombale Films,2002,Ajith Kumar,566.72,1392.21,Zoya Akhtar
tt91000007,Dark Storm 446,6.0,23864,2015-04-05,te,"A comedy film about courage, betrayal and redemption that changes the lives of its protagonists.",56.23,Comedy,T-Series,2024,Shah Rukh Khan,225.03,143.5,Zoya Akhtar
tt91000008,Silent Warrior 332,5.7,50682,2023-10-16,kn,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",64.9,Romance,T-Series,2017,Ranbir Kapoor,133.94,247.93,Nelson Dilipkumar
tt91000009,Shadow Legacy 272,8.3,110816,2021-04-27,hi,"A romance film about courage, betrayal and redemption that changes the lives of its protagonists.",79.95,Romance,Lyca Productions,2004,Ajith Kumar,185.7,706.95,T. J. Gnanavel
