imdb_id,title,vote_average,vote_count,release_date,original_language,overview,popularity,genres,production_companies,release_year,cast,budget,collection,directors
tt10811166,The Kashmir Files,8.5,576000,2022-03-11,Hindi,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",4896,"Political Drama, Tragedy, Drama","Zee Studios, Abhishek Agarwal Arts, I Am Buddha",2022,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi, Chinmay Mandlekar, Prakash Belawadi, Puneet Issar, Bhasha Sumbli, Raj Vermaa Saurav, Mrinal Kulkarni",20,206,Vivek Agnihotri
tt1187043,3 Idiots,8.4,456000,2009-12-25,Hindi,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",3830.4,"Buddy Comedy, Coming-of-Age, Quirky Comedy, Comedy, Drama",Vinod Chopra Productions,2009,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi, Kareena Kapoor, Boman Irani, Omi Vaidya, Jaaved Jaaferi, Parikshit Sahni, Olivier Lafont",55,500,Rajkumar Hirani
tt5074352,Dangal,8.3,224000,2016-12-21,Hindi,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",1859.2,"Coming-of-Age, Martial Arts, Action, Biography, Drama, Sport","Aamir Khan Productions, UTV Motion Pictures, Walt Disney Pictures",2016,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana, Zaira Wasim, Suhani Bhatnagar, Ritvik Sahore, Girish Kulkarni, Ravi Aneja",70,2000,Nitesh Tiwari
tt0986264,Like Stars on Earth,8.3,217000,2007-12-21,Hindi,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,1801.1,"Drama, Family","Aamir Khan Productions, PVR Pictures",2007,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda, Sachet Engineer, Girija Oak, Lalitha Lajmi, Ravi Khanvilkar, Pratima Kulkarni",12,98,Aamir Khan
tt2338151,PK,8.1,210000,2014-12-19,Hindi,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people.,1701,"Quest, Quirky Comedy, Satire, Comedy, Drama, Sci-Fi","Rajkumar Hirani Films, Vinod Chopra Productions",2014,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani, Saurabh Shukla, Sushant Singh Rajput, Parikshit Sahni, Amardeep Jha, Plabita Borthakur, Maanvi Gagroo",85,792,Rajkumar Hirani
tt8178634,RRR,7.8,178000,2022-03-25,Telugu,A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India.,1388.4,"Action Epic, Epic, Period Drama, Action, Adventure, Drama",DVV Entertainment,2022,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt, Olivia Morris, Shriya Saran, Ray Stevenson, Alison Doody, Samuthirakani, Chandra Sekhar",550,1230,S.S. Rajamouli
tt10698680,K.G.F: Chapter 2,8.2,158000,2022-04-13,Kannada,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",1295.6,"Action Epic, Epic, Gangster, One-Person Army Action, Period Drama, Action, Crime, Drama, Thriller",Hombale Films,2022,"Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty, Achyuth Kumar, Prakash Raj, Rao Ramesh, Malavika Avinash, T.S. Nagabharana, Easwari Rao",100,1200,Prashanth Neel
tt23849204,12th Fail,8.8,146000,2023-10-27,Hindi,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,1284.8,"Docudrama, Biography, Drama","Vinod Chopra Films, Zee Studios",2023,"Vikrant Massey, Medha Shankr, Anant Joshi, Anshuman Pushkar, Geeta Agrawal Sharma, Harish Khanna, Sarita Joshi, Priyanshu Chatterjee, Vikas Divyakirti, Abhishek Sengupta",20,69,Vidhu Vinod Chopra
tt2631186,Baahubali: The Beginning,8,144000,2015-07-09,Telugu,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler.",1152,"Action Epic, Epic, One-Person Army Action, Period Drama, Action, Drama",Arka Mediaworks,2015,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Rohini, Meka Rama Krishna, Adivi Sesh",180,650,S.S. Rajamouli
tt4849438,Baahubali 2: The Conclusion,8.2,123000,2017-04-28,Telugu,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.",1008.6,"Action Epic, Epic, One-Person Army Action, Period Drama, Action, Drama",Arka Mediaworks,2017,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Subbaraju, Meka Rama Krishna, Rajasekhar Aningi",250,1810,S.S. Rajamouli
